SL NO,DATE,TRADING CODE,CLOSE PRICE,YCP*
29700,2016-03-28,PHARMAID,222.6,223.6
29701,2016-03-27,PHARMAID,223.6,227
29702,2016-03-24,PHARMAID,227,225.2
29703,2016-03-23,PHARMAID,225.2,224.1
29704,2016-03-22,PHARMAID,224.1,225.7
29705,2016-03-21,PHARMAID,225.7,226.5
29706,2016-03-20,PHARMAID,226.5,225.6
29707,2016-03-16,PHARMAID,225.6,226.3
29708,2016-03-15,PHARMAID,226.3,225.6
29709,2016-03-14,PHARMAID,225.6,226.8
29710,2016-03-13,PHARMAID,226.8,227
29711,2016-03-10,PHARMAID,227,227.6
29712,2016-03-09,PHARMAID,227.6,227.5
29713,2016-03-08,PHARMAID,227.5,225.5
29714,2016-03-07,PHARMAID,225.5,226.9
29715,2016-03-06,PHARMAID,226.9,225.8
29716,2016-03-03,PHARMAID,225.8,229.2
29717,2016-03-02,PHARMAID,229.2,233.9
29718,2016-03-01,PHARMAID,233.9,231.9
29719,2016-02-29,PHARMAID,231.9,229
29720,2016-02-28,PHARMAID,229,229.5
29721,2016-02-25,PHARMAID,229.5,225.4
29722,2016-02-24,PHARMAID,225.4,223.6
29723,2016-02-23,PHARMAID,223.6,226.3
29724,2016-02-22,PHARMAID,226.3,225.7
29725,2016-02-18,PHARMAID,225.7,226.9
29726,2016-02-17,PHARMAID,226.9,227.7
29727,2016-02-16,PHARMAID,227.7,229.2
29728,2016-02-15,PHARMAID,229.2,230.7
29729,2016-02-14,PHARMAID,230.7,229.8
29730,2016-02-11,PHARMAID,229.8,234.1
29731,2016-02-10,PHARMAID,234.1,232.3
29732,2016-02-09,PHARMAID,232.3,235.3
29733,2016-02-08,PHARMAID,235.3,235.3
29734,2016-02-07,PHARMAID,235.3,226.1
29735,2016-02-04,PHARMAID,226.1,229.6
29736,2016-02-03,PHARMAID,229.6,234.9
29737,2016-02-02,PHARMAID,234.9,231.5
29738,2016-02-01,PHARMAID,231.5,223.6
29739,2016-01-31,PHARMAID,223.6,223.6
29740,2016-01-28,PHARMAID,223.6,222.8
29741,2016-01-27,PHARMAID,222.8,228.7
29742,2016-01-26,PHARMAID,228.7,228.8
29743,2016-01-25,PHARMAID,228.8,235.6
29744,2016-01-24,PHARMAID,235.6,239.5
29745,2016-01-21,PHARMAID,239.5,244.8
29746,2016-01-20,PHARMAID,244.8,238.6
29747,2016-01-19,PHARMAID,238.6,251.2
29748,2016-01-18,PHARMAID,251.2,231.2
29749,2016-01-17,PHARMAID,231.2,221.6
29750,2016-01-14,PHARMAID,221.6,219.7
29751,2016-01-13,PHARMAID,219.7,221.7
29752,2016-01-12,PHARMAID,221.7,220.6
29753,2016-01-11,PHARMAID,220.6,220.9
29754,2016-01-10,PHARMAID,220.9,224.1
29755,2016-01-07,PHARMAID,224.1,227.7
29756,2016-01-06,PHARMAID,227.7,229.7
29757,2016-01-05,PHARMAID,229.7,232.3
29758,2016-01-04,PHARMAID,232.3,230.2
29759,2016-01-03,PHARMAID,230.2,231.6
29760,2016-06-30,PHENIXINS,19.7,19.5
29761,2016-06-29,PHENIXINS,19.5,19.2
29762,2016-06-28,PHENIXINS,19.2,18.7
29763,2016-06-27,PHENIXINS,18.7,18.4
29764,2016-06-26,PHENIXINS,18.4,18.9
29765,2016-06-23,PHENIXINS,18.9,19.4
29766,2016-06-22,PHENIXINS,19.4,19.2
29767,2016-06-21,PHENIXINS,19.2,19.5
29768,2016-06-20,PHENIXINS,19.5,19.6
29769,2016-06-19,PHENIXINS,19.6,19.7
29770,2016-06-16,PHENIXINS,19.7,19.9
29771,2016-06-15,PHENIXINS,19.9,19.5
29772,2016-06-14,PHENIXINS,19.5,19.8
29773,2016-06-13,PHENIXINS,19.8,20
29774,2016-06-12,PHENIXINS,20,19.7
29775,2016-06-09,PHENIXINS,19.7,19.5
29776,2016-06-08,PHENIXINS,19.5,19.3
29777,2016-06-07,PHENIXINS,19.3,20.1
29778,2016-06-06,PHENIXINS,20.1,19.6
29779,2016-06-05,PHENIXINS,19.6,19.4
29780,2016-06-02,PHENIXINS,19.4,19.9
29781,2016-06-01,PHENIXINS,19.9,19.8
29782,2016-05-31,PHENIXINS,19.8,20
29783,2016-05-30,PHENIXINS,20,19.8
29784,2016-05-29,PHENIXINS,19.8,20
29785,2016-05-26,PHENIXINS,20,20.4
29786,2016-05-25,PHENIXINS,20.4,19.2
29787,2016-05-24,PHENIXINS,19.2,19.9
29788,2016-05-22,PHENIXINS,19.9,19.4
29789,2016-05-19,PHENIXINS,19.4,18.5
29790,2016-05-18,PHENIXINS,18.5,19.3
29791,2016-05-17,PHENIXINS,19.3,19.1
29792,2016-05-16,PHENIXINS,19.1,19.4
29793,2016-05-15,PHENIXINS,19.4,19.3
29794,2016-05-12,PHENIXINS,19.3,18.8
29795,2016-05-11,PHENIXINS,18.8,18.4
29796,2016-05-10,PHENIXINS,18.4,18.5
29797,2016-05-09,PHENIXINS,18.5,19
29798,2016-05-08,PHENIXINS,19,18.9
29799,2016-05-05,PHENIXINS,18.9,18.6
29800,2016-05-04,PHENIXINS,18.6,18.9
29801,2016-05-03,PHENIXINS,18.9,18.6
29802,2016-05-02,PHENIXINS,18.6,18.7
29803,2016-04-28,PHENIXINS,18.7,18.6
29804,2016-04-27,PHENIXINS,18.6,18.7
29805,2016-04-26,PHENIXINS,18.7,19
29806,2016-04-25,PHENIXINS,19,18.8
29807,2016-04-24,PHENIXINS,18.8,19.1
29808,2016-04-21,PHENIXINS,19.1,19.5
29809,2016-04-20,PHENIXINS,19.5,21.4
29810,2016-04-19,PHENIXINS,21.4,21.4
29811,2016-04-18,PHENIXINS,21.4,21.2
29812,2016-04-17,PHENIXINS,21.2,21.6
29813,2016-04-13,PHENIXINS,21.6,21.3
29814,2016-04-12,PHENIXINS,21.3,21.3
29815,2016-04-11,PHENIXINS,21.3,21.8
29816,2016-04-10,PHENIXINS,21.8,21.2
29817,2016-04-07,PHENIXINS,21.2,21.1
29818,2016-04-06,PHENIXINS,21.1,21.4
29819,2016-04-05,PHENIXINS,21.4,22.1
29820,2016-04-04,PHENIXINS,22.1,22
29821,2016-04-03,PHENIXINS,22,22.2
29822,2016-03-31,PHENIXINS,22.2,22.4
29823,2016-03-30,PHENIXINS,22.4,21.9
29824,2016-03-29,PHENIXINS,21.9,22
29825,2016-03-28,PHENIXINS,22,22.3
29826,2016-03-27,PHENIXINS,22.3,22.5
29827,2016-03-24,PHENIXINS,22.5,22.9
29828,2016-03-23,PHENIXINS,22.9,23.1
29829,2016-03-22,PHENIXINS,23.1,23.1
29830,2016-03-21,PHENIXINS,23.1,23.3
29831,2016-03-20,PHENIXINS,23.3,23.3
29832,2016-03-16,PHENIXINS,23.3,23.1
29833,2016-03-15,PHENIXINS,23.1,23.3
29834,2016-03-14,PHENIXINS,23.3,23.3
29835,2016-03-13,PHENIXINS,23.3,23
29836,2016-03-10,PHENIXINS,23,23.1
29837,2016-03-09,PHENIXINS,23.1,23
29838,2016-03-08,PHENIXINS,23,23
29839,2016-03-07,PHENIXINS,23,23.1
29840,2016-03-06,PHENIXINS,23.1,23.1
29841,2016-03-03,PHENIXINS,23.1,23.3
29842,2016-03-02,PHENIXINS,23.3,23.3
29843,2016-03-01,PHENIXINS,23.3,23.7
29844,2016-02-29,PHENIXINS,23.7,23.5
29845,2016-02-28,PHENIXINS,23.5,23.6
29846,2016-02-25,PHENIXINS,23.6,23.2
29847,2016-02-24,PHENIXINS,23.2,23.3
29848,2016-02-23,PHENIXINS,23.3,23.2
29849,2016-02-22,PHENIXINS,23.2,23.4
29850,2016-02-18,PHENIXINS,23.4,23.4
29851,2016-02-17,PHENIXINS,23.4,23.5
29852,2016-02-16,PHENIXINS,23.5,23.6
29853,2016-02-15,PHENIXINS,23.6,23.3
29854,2016-02-14,PHENIXINS,23.3,23.3
29855,2016-02-11,PHENIXINS,23.3,23.4
29856,2016-02-10,PHENIXINS,23.4,23.4
29857,2016-02-09,PHENIXINS,23.4,23.5
29858,2016-02-08,PHENIXINS,23.5,23.4
29859,2016-02-07,PHENIXINS,23.4,23.5
29860,2016-02-04,PHENIXINS,23.5,23.9
29861,2016-02-03,PHENIXINS,23.9,23.7
29862,2016-02-02,PHENIXINS,23.7,23.9
29863,2016-02-01,PHENIXINS,23.9,24
29864,2016-01-31,PHENIXINS,24,24.3
29865,2016-01-28,PHENIXINS,24.3,24.8
29866,2016-01-27,PHENIXINS,24.8,25.5
29867,2016-01-26,PHENIXINS,25.5,25
29868,2016-01-25,PHENIXINS,25,24.6
29869,2016-01-24,PHENIXINS,24.6,24.7
